crop,date,gmb_price,private_buyer_price,export_price_usd
Maize,2025-04-05,466.0,481.0,573.0
Maize,2025-04-06,225.0,247.0,287.0
Maize,2025-04-07,233.0,267.0,246.0
Maize,2025-04-08,656.0,822.0,929.0
Maize,2025-04-09,587.0,571.0,758.0
Maize,2025-04-10,437.0,541.0,552.0
Maize,2025-04-11,259.0,265.0,322.0
Maize,2025-04-12,574.0,662.0,721.0
Maize,2025-04-13,514.0,640.0,641.0
Maize,2025-04-14,555.0,560.0,688.0
Maize,2025-04-15,290.0,267.0,358.0
Maize,2025-04-16,246.0,276.0,297.0
Maize,2025-04-17,334.0,349.0,332.0
Maize,2025-04-18,416.0,440.0,477.0
Maize,2025-04-19,595.0,603.0,669.0
Maize,2025-04-20,766.0,750.0,701.0
Maize,2025-04-21,274.0,311.0,290.0
Maize,2025-04-22,745.0,902.0,945.0
Maize,2025-04-23,667.0,723.0,778.0
Maize,2025-04-24,583.0,691.0,704.0
Maize,2025-04-25,716.0,669.0,683.0
Maize,2025-04-26,491.0,567.0,555.0
Maize,2025-04-27,545.0,521.0,643.0
Maize,2025-04-28,649.0,766.0,821.0
Maize,2025-04-29,276.0,357.0,334.0
Maize,2025-04-30,314.0,376.0,398.0
Maize,2025-05-01,538.0,688.0,655.0
Maize,2025-05-02,385.0,406.0,489.0
Maize,2025-05-03,728.0,883.0,935.0
Maize,2025-05-04,720.0,830.0,821.0
Maize,2025-05-05,626.0,758.0,765.0
Maize,2025-05-06,405.0,458.0,466.0
Maize,2025-05-07,678.0,769.0,808.0
Maize,2025-05-08,209.0,231.0,244.0
Maize,2025-05-09,651.0,620.0,664.0
Maize,2025-05-10,533.0,541.0,630.0
Maize,2025-05-11,514.0,602.0,635.0
Maize,2025-05-12,420.0,445.0,476.0
Maize,2025-05-13,480.0,598.0,592.0
Maize,2025-05-14,814.0,840.0,823.0
Maize,2025-05-15,312.0,345.0,351.0
Maize,2025-05-16,475.0,608.0,525.0
Maize,2025-05-17,822.0,821.0,924.0
Maize,2025-05-18,474.0,478.0,503.0
Maize,2025-05-19,547.0,599.0,594.0
Maize,2025-05-20,385.0,405.0,452.0
Maize,2025-05-21,225.0,282.0,247.0
Maize,2025-05-22,568.0,695.0,682.0
Maize,2025-05-23,385.0,401.0,448.0
Maize,2025-05-24,295.0,284.0,297.0
Maize,2025-05-25,609.0,725.0,711.0
Maize,2025-05-26,582.0,734.0,771.0
Maize,2025-05-27,304.0,337.0,423.0
Maize,2025-05-28,351.0,339.0,396.0
Maize,2025-05-29,592.0,586.0,676.0
Maize,2025-05-30,480.0,543.0,619.0
Maize,2025-05-31,826.0,776.0,821.0
Maize,2025-06-01,348.0,373.0,395.0
Maize,2025-06-02,436.0,464.0,469.0
Maize,2025-06-03,456.0,494.0,637.0
Maize,2025-06-04,641.0,703.0,723.0
Maize,2025-06-05,681.0,735.0,784.0
Maize,2025-06-06,312.0,344.0,355.0
Maize,2025-06-07,631.0,643.0,731.0
Maize,2025-06-08,745.0,869.0,890.0
Maize,2025-06-09,242.0,273.0,280.0
Maize,2025-06-10,693.0,703.0,926.0
Maize,2025-06-11,433.0,490.0,468.0
Maize,2025-06-12,584.0,644.0,657.0
Maize,2025-06-13,649.0,776.0,881.0
Maize,2025-06-14,521.0,550.0,567.0
Maize,2025-06-15,495.0,581.0,622.0
Maize,2025-06-16,773.0,765.0,859.0
Maize,2025-06-17,721.0,877.0,829.0
Maize,2025-06-18,584.0,666.0,602.0
Maize,2025-06-19,650.0,659.0,799.0
Maize,2025-06-20,548.0,548.0,608.0
Maize,2025-06-21,560.0,570.0,735.0
Maize,2025-06-22,531.0,534.0,561.0
Maize,2025-06-23,436.0,483.0,517.0
Maize,2025-06-24,462.0,535.0,524.0
Maize,2025-06-25,300.0,304.0,330.0
Maize,2025-06-26,477.0,489.0,543.0
Maize,2025-06-27,460.0,486.0,529.0
Maize,2025-06-28,289.0,310.0,328.0
Maize,2025-06-29,646.0,691.0,772.0
Maize,2025-06-30,303.0,368.0,374.0
Maize,2025-07-01,201.0,214.0,210.0
Maize,2025-07-02,630.0,685.0,738.0
Maize,2025-07-03,218.0,231.0,254.0
Maize,2025-07-04,228.0,241.0,262.0
Maize,2025-07-05,268.0,305.0,308.0
Maize,2025-07-06,591.0,575.0,640.0
Maize,2025-07-07,528.0,471.0,559.0
Maize,2025-07-08,648.0,671.0,779.0
Maize,2025-07-09,699.0,804.0,771.0
Maize,2025-07-10,401.0,468.0,499.0
Maize,2025-07-11,254.0,303.0,321.0
Maize,2025-07-12,389.0,425.0,403.0
Maize,2025-07-13,717.0,833.0,839.0
Maize,2025-07-14,297.0,291.0,334.0
Maize,2025-07-15,380.0,410.0,483.0
Maize,2025-07-16,594.0,690.0,743.0
Maize,2025-07-17,621.0,734.0,714.0
Maize,2025-07-18,442.0,483.0,476.0
Maize,2025-07-19,551.0,595.0,714.0
Maize,2025-07-20,376.0,393.0,488.0
Maize,2025-07-21,275.0,299.0,335.0
Maize,2025-07-22,616.0,557.0,632.0
