station,province,date,rainfall_mm,max_temp_c,min_temp_c,humidity_pct,wind_speed_kmh
Harare,Harare,2025-04-05,61.7,28.0,15.1,34.0,7.2
Harare,Harare,2025-04-06,62.2,33.4,15.3,49.4,1.8
Harare,Harare,2025-04-07,54.6,24.2,10.6,66.6,14.6
Harare,Harare,2025-04-08,1.0,21.7,17.0,33.5,26.0
Harare,Harare,2025-04-09,24.9,21.3,17.6,58.8,9.2
Harare,Harare,2025-04-10,32.5,20.3,16.6,50.1,21.4
Harare,Harare,2025-04-11,50.3,29.8,17.9,64.7,12.6
Harare,Harare,2025-04-12,31.2,21.8,17.8,71.9,7.4
Harare,Harare,2025-04-13,69.0,28.8,14.8,31.0,11.5
Harare,Harare,2025-04-14,51.3,21.3,14.6,84.6,21.5
Harare,Harare,2025-04-15,43.7,28.0,10.4,82.7,27.8
Harare,Harare,2025-04-16,54.6,21.5,12.1,40.1,15.6
Harare,Harare,2025-04-17,16.6,30.4,15.5,31.0,22.3
Harare,Harare,2025-04-18,15.1,32.4,13.6,48.6,0.4
Harare,Harare,2025-04-19,79.0,29.2,14.2,35.3,21.0
Harare,Harare,2025-04-20,22.6,34.8,19.5,70.4,29.1
Harare,Harare,2025-04-21,8.5,24.2,12.5,34.0,29.2
Harare,Harare,2025-04-22,4.8,32.9,17.7,50.7,0.6
Harare,Harare,2025-04-23,0.5,23.1,14.9,55.2,17.6
Harare,Harare,2025-04-24,61.8,25.7,11.6,74.0,10.0
Harare,Harare,2025-04-25,23.0,31.5,19.3,80.3,4.1
Harare,Harare,2025-04-26,40.3,21.4,19.6,41.8,5.9
Harare,Harare,2025-04-27,71.1,34.5,17.0,36.7,14.6
Harare,Harare,2025-04-28,65.3,28.6,11.3,39.5,25.9
Harare,Harare,2025-04-29,42.2,30.6,13.7,59.3,29.3
Harare,Harare,2025-04-30,26.4,30.1,11.7,36.7,23.5
Harare,Harare,2025-05-01,67.5,30.0,11.6,43.2,27.3
Harare,Harare,2025-05-02,23.1,32.3,12.9,81.7,27.4
Harare,Harare,2025-05-03,3.5,31.6,11.7,41.8,13.8
Harare,Harare,2025-05-04,46.1,24.9,15.8,39.4,0.7
Harare,Harare,2025-05-05,45.7,27.8,16.9,65.7,26.9
Harare,Harare,2025-05-06,36.8,20.1,16.3,67.1,15.6
Harare,Harare,2025-05-07,55.1,24.9,11.5,66.6,7.4
Harare,Harare,2025-05-08,36.5,27.4,14.8,62.9,0.9
Harare,Harare,2025-05-09,79.2,30.7,14.3,40.5,2.4
Harare,Harare,2025-05-10,53.8,24.8,12.3,50.9,17.8
Harare,Harare,2025-05-11,53.7,29.7,18.6,42.0,19.1
Harare,Harare,2025-05-12,8.1,28.2,15.8,41.9,11.8
Harare,Harare,2025-05-13,66.2,22.2,14.3,81.3,15.1
Harare,Harare,2025-05-14,58.0,32.4,12.0,42.0,22.8
Harare,Harare,2025-05-15,60.3,20.9,13.2,51.9,24.9
Harare,Harare,2025-05-16,33.7,33.9,20.0,72.9,20.0
Harare,Harare,2025-05-17,31.4,21.0,15.7,49.9,10.5
Harare,Harare,2025-05-18,55.0,27.0,17.5,51.9,4.5
Harare,Harare,2025-05-19,36.9,34.3,18.0,41.3,11.7
Harare,Harare,2025-05-20,74.2,21.9,12.5,44.4,17.1
Harare,Harare,2025-05-21,32.9,21.2,16.3,35.4,18.2
Harare,Harare,2025-05-22,40.6,27.4,10.7,65.2,12.9
Harare,Harare,2025-05-23,32.9,28.9,16.1,30.8,3.8
Harare,Harare,2025-05-24,18.9,30.2,15.8,71.7,22.2
Harare,Harare,2025-05-25,68.3,25.7,13.5,75.7,7.1
Harare,Harare,2025-05-26,36.9,22.9,19.1,52.4,6.4
Harare,Harare,2025-05-27,55.4,23.7,19.4,50.2,19.9
Harare,Harare,2025-05-28,27.6,32.1,19.0,73.3,25.5
Harare,Harare,2025-05-29,8.2,33.9,16.2,77.8,20.5
Harare,Harare,2025-05-30,16.1,29.1,10.9,68.3,12.3
Harare,Harare,2025-05-31,12.1,34.7,19.0,79.1,23.7
Harare,Harare,2025-06-01,55.4,29.8,11.1,79.5,26.4
Harare,Harare,2025-06-02,59.8,33.9,15.5,54.6,29.0
Harare,Harare,2025-06-03,37.1,29.6,13.7,65.0,21.6
Harare,Harare,2025-06-04,50.0,27.7,13.0,65.4,27.3
Harare,Harare,2025-06-05,0.6,22.0,11.2,80.8,19.9
Harare,Harare,2025-06-06,76.1,28.7,14.6,73.6,4.8
Harare,Harare,2025-06-07,30.5,27.0,13.0,50.4,2.3
Harare,Harare,2025-06-08,15.8,25.0,18.0,40.0,10.4
Harare,Harare,2025-06-09,5.2,28.4,16.1,77.6,24.6
Harare,Harare,2025-06-10,22.8,22.1,11.6,83.3,20.2
Harare,Harare,2025-06-11,3.4,22.1,14.9,41.4,24.1
Harare,Harare,2025-06-12,45.9,29.2,14.6,44.1,17.7
Harare,Harare,2025-06-13,57.4,25.6,15.0,76.2,4.5
Harare,Harare,2025-06-14,43.6,25.2,17.0,31.0,20.1
Harare,Harare,2025-06-15,8.2,21.0,17.2,65.2,26.8
Harare,Harare,2025-06-16,41.6,28.0,17.1,47.8,1.1
Harare,Harare,2025-06-17,18.4,23.6,13.4,81.9,24.1
Harare,Harare,2025-06-18,74.9,35.0,14.3,42.5,16.8
Harare,Harare,2025-06-19,70.5,27.0,15.1,37.4,12.6
Harare,Harare,2025-06-20,31.0,25.3,18.9,33.3,29.2
Harare,Harare,2025-06-21,0.7,34.2,15.5,68.6,5.6
Harare,Harare,2025-06-22,52.3,33.2,11.4,37.0,9.1
Harare,Harare,2025-06-23,12.9,21.7,16.8,41.8,20.0
Harare,Harare,2025-06-24,69.0,29.8,11.2,61.5,11.8
Harare,Harare,2025-06-25,27.5,24.8,19.3,70.8,4.0
Harare,Harare,2025-06-26,38.1,24.8,19.8,83.8,9.6
Harare,Harare,2025-06-27,28.2,29.0,14.8,41.7,19.8
Harare,Harare,2025-06-28,26.7,29.8,13.8,68.5,20.0
Harare,Harare,2025-06-29,40.7,30.6,14.6,36.4,5.5
Harare,Harare,2025-06-30,19.7,20.9,17.1,50.2,2.8
Harare,Harare,2025-07-01,65.6,30.3,14.5,43.6,4.6
Harare,Harare,2025-07-02,36.7,33.3,11.9,61.3,28.9
Harare,Harare,2025-07-03,51.0,26.6,17.2,75.4,17.7
Harare,Harare,2025-07-04,69.7,27.7,18.3,82.4,15.0
Harare,Harare,2025-07-05,48.4,29.1,17.8,75.3,0.8
Harare,Harare,2025-07-06,58.7,31.8,17.0,69.3,1.2
Harare,Harare,2025-07-07,35.4,32.3,19.3,42.6,17.4
Harare,Harare,2025-07-08,64.3,31.3,16.2,31.0,21.7
Harare,Harare,2025-07-09,61.9,30.8,17.7,53.7,29.8
Harare,Harare,2025-07-10,61.7,28.7,19.3,80.0,24.4
Harare,Harare,2025-07-11,45.1,27.9,13.3,43.8,15.4
Harare,Harare,2025-07-12,46.2,23.7,19.2,60.7,15.8
Harare,Harare,2025-07-13,34.9,20.9,18.8,47.4,19.3
Harare,Harare,2025-07-14,48.6,28.8,15.3,40.0,8.4
Harare,Harare,2025-07-15,41.9,31.8,14.3,41.2,2.6
